Language;Product code sec;Promo text
"uk";"45389";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45390";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45391";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45392";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45393";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45394";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45395";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45396";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45397";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45398";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45399";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45400";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45401";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45402";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45403";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45404";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45405";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45406";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45407";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45408";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45409";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45410";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45411";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45412";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45413";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45414";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45415";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45416";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45417";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45418";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45419";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45420";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45421";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45422";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45423";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45424";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45425";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45426";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45427";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45428";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45429";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45430";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45431";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45432";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45433";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
"uk";"45434";"<p class=""product-promo-text""><span class=""product-promo-header"">FREE US shipping over $100!</span><span class=""product-promo-body"">Orders within next 2 days will be shipped on Monday</span></p>"
